r_fighter,b_fighter,r_win,b_win,wei_class,method,round,time,t_format,ref,details,r_kd,b_kd,r_sigstr,b_sigstr,r_totstr,b_totstr,r_td,b_td,r_sub,b_sub,r_rev,b_rev,r_ctrl,b_ctrl,r_hstr,b_hstr,r_bstr,b_bstr,r_lstr,b_lstr,r_dis,b_dis,r_cli,b_cli,r_gro,b_gro
Marcelo Guimaraes,Hyun Gyu Lim,0,1,Welterweight Bout,KO/TKO,2,4:00,3 Rnd (5-5-5),Thomas Fan,Knee to Head At Distance,0,1,0.47,0.46,0.46,0.47,0.16,0.0,0,0,0,0,64,2,0.32,0.38,0.82,0.71,0.77,1.0,0.48,0.45,0,0,0.0,1.0
Alex Caceres,Kyung Ho Kang,0,0,Bantamweight Bout,Overturned,3,5:00,3 Rnd (5-5-5),Herb Dean,,0,0,0.54,0.37,0.71,0.48,0.0,0.55,0,0,3,2,297,377,0.43,0.31,0.82,0.5,1.0,0.75,0.33,0.31,1.0,1.0,0.76,0.57
Jussier Formiga,Chris Cariaso,1,0,Flyweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Kevin Mulhall,,0,0,0.38,0.29,0.66,0.5,0.5,1.0,0,1,0,0,530,81,0.25,0.22,0.5,0.55,1.0,0.0,0.25,0.1,0,0.85,0.83,0.47
Steven Siler,Kurt Holobaugh,1,0,Featherweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Gasper Oliver,,0,0,0.46,0.45,0.64,0.68,0.25,0.5,2,2,0,0,407,299,0.39,0.22,0.81,0.9,1.0,0.71,0.42,0.25,0.47,0.84,0.52,0.77
Lucas Martins,Jeremy Larsen,1,0,Lightweight Bout,KO/TKO,3,0:13,3 Rnd (5-5-5),Mario Yamasaki,Punch to Head At Distance,1,1,0.35,0.48,0.38,0.51,0.0,0.28,0,0,0,0,4,205,0.28,0.47,1.0,0.5,1.0,0.75,0.34,0.47,0.31,0.48,1.0,0.67
Cristiano Marcello,Kazuki Tokudome,0,1,Lightweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Thomas Fan,,0,1,0.43,0.43,0.57,0.51,0.25,1.0,0,0,0,0,55,506,0.37,0.34,0.64,0.8,0.62,0.56,0.38,0.44,0.73,1.0,1.0,0.33
Jon Manley,Neil Magny,0,1,Welterweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Herb Dean,,0,0,0.2,0.54,0.31,0.61,0.07,0.8,0,0,0,1,327,308,0.16,0.45,0.29,0.79,0.6,1.0,0.16,0.48,0.62,0.67,0,0.56
Mike Pierce,David Mitchell,1,0,Welterweight Bout,KO/TKO,2,2:55,3 Rnd (5-5-5),Steve Mazzagatti,Knee to Head In Clinch,1,0,0.41,0.39,0.51,0.74,0.0,0.0,0,0,0,0,280,17,0.32,0.0,0.8,0.89,1.0,0,0.24,0.0,0.56,0.65,0.5,0
Yves Jabouin,Dustin Pague,1,0,Bantamweight Bout,Decision - Split,3,5:00,3 Rnd (5-5-5),Adam Cheadle,,0,0,0.69,0.83,0.73,0.81,1.0,0.5,0,7,3,1,486,286,0.65,0.85,0.75,1.0,1.0,0.5,0.46,0.71,1.0,1.0,0.86,0.88
Seth Baczynski,Brian Melancon,0,1,Welterweight Bout,KO/TKO,1,4:59,3 Rnd (5-5-5),Yves Lavigne,Punches to Head On Ground,0,1,0.24,0.57,0.25,0.62,0.0,1.0,0,0,0,0,16,100,0.17,0.5,0.33,0.75,1.0,1.0,0.21,0.5,1.0,0,0,0.71
John Albert,Yaotzin Meza,0,1,Bantamweight Bout,Submission,2,2:49,3 Rnd (5-5-5),Randy Corley,Rear Naked Choke,0,0,0.33,0.57,0.53,0.88,0.0,0.5,3,4,0,0,82,341,0.0,0.5,1.0,0,1.0,0.67,0.3,0.5,0.0,0,1.0,1.0
Nah-Shon Burrell,Yuri Villefort,1,0,Welterweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Jason Herzog,,0,0,0.56,0.43,0.57,0.43,0.0,0.5,1,1,1,1,139,171,0.51,0.29,0.8,0.67,1.0,0.89,0.47,0.43,1.0,0.22,0.88,1.0
Mitch Clarke,John Maguire,1,0,Lightweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Jerin Valel,,0,0,0.39,0.37,0.63,0.69,0.0,0.42,0,0,1,0,147,411,0.28,0.3,0.42,1.0,0.57,0,0.33,0.27,0.73,0.67,0.4,0.6
Edson Barboza,Rafaello Oliveira,1,0,Lightweight Bout,KO/TKO,2,1:44,3 Rnd (5-5-5),Herb Dean,Kicks to Leg At Distance,1,0,0.55,0.45,0.55,0.45,0.0,0.0,0,0,0,0,13,2,0.23,0.39,0.81,0.67,0.82,0,0.55,0.45,0,0,0,0
Ramsey Nijem,James Vick,0,1,Lightweight Bout,Submission,1,0:58,3 Rnd (5-5-5),Kevin MacDonald,Guillotine Choke On Ground,0,0,0.0,0,0.0,0,0.5,0.0,0,1,0,0,22,17,0,0,0,0,0.0,0,0.0,0,0,0,0,0
Cody Donovan,Ovince Saint Preux,0,1,Light Heavyweight Bout,KO/TKO,1,2:07,3 Rnd (5-5-5),Herb Dean,Punches to Head From Guard,0,0,0.67,0.55,0.78,0.62,0.0,0.0,0,0,0,0,73,10,0.33,0.55,0.89,0,0,0,0.33,0.0,0.75,0.0,0,0.86
Roger Bowling,Abel Trujillo,0,0,Lightweight Bout,Could Not Continue,2,4:57,3 Rnd (5-5-5),Rob Hinds,Illegal Knee on Ground by Trujillo,0,0,0.41,0.41,0.44,0.44,0.8,1.0,3,0,0,0,135,96,0.37,0.37,0.67,1.0,1.0,1.0,0.39,0.34,0.5,0.7,1.0,0.89
Takeya Mizugaki,Erik Perez,1,0,Bantamweight Bout,Decision - Split,3,5:00,3 Rnd (5-5-5),Gary Copeland,,0,0,0.37,0.33,0.47,0.39,0.4,0.45,1,0,0,0,160,278,0.33,0.21,0.75,0.62,1.0,0.67,0.34,0.25,0.46,0.75,0.75,1.0
Brad Tavares,Robert McDaniel,1,0,Middleweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Dan Miragliotta,,0,0,0.38,0.25,0.44,0.45,0.0,0.33,0,0,0,0,97,282,0.15,0.18,0.54,0.43,0.89,0.36,0.3,0.2,1.0,1.0,1.0,0.4
James Head,Jason High,0,1,Welterweight Bout,Submission,1,1:41,3 Rnd (5-5-5),Herb Dean,Guillotine Choke From Mount,0,0,0.0,0.17,0.0,0.62,0.0,1.0,0,2,0,0,3,61,0.0,0.2,0,0.0,0,0,0.0,0.0,0,0,0,0.33
Donald Cerrone,Rafael Dos Anjos,0,1,Lightweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Dan Miragliotta,,0,1,0.5,0.36,0.52,0.45,1.0,0.33,0,0,0,0,60,230,0.26,0.27,0.62,0.56,0.83,0.67,0.48,0.33,1.0,1.0,0,0.47
Carlos Condit,Martin Kampmann,1,0,Welterweight Bout,KO/TKO,4,0:54,5 Rnd (5-5-5-5-5),Herb Dean,Punch to Body At Distance,1,0,0.43,0.36,0.52,0.4,0.0,0.4,2,0,1,0,76,323,0.37,0.32,0.6,1.0,0.68,0,0.39,0.32,0.71,0.5,0.67,0.5
Zak Cummings,Ben Alloway,1,0,Welterweight Bout,Submission,1,4:19,3 Rnd (5-5-5),Gary Copeland,D'Arce Choke On Ground,0,0,0.45,0.67,0.63,0.77,0.66,0.0,1,0,0,0,180,0,0.33,0.5,0,0.67,1.0,1.0,0.4,0.6,0.4,0.75,1.0,0
Dylan Andrews,Papy Abedi,1,0,Middleweight Bout,KO/TKO,3,1:32,3 Rnd (5-5-5),Herb Dean,Punch to Head In Clinch,0,0,0.44,0.47,0.46,0.56,0.4,0.6,0,3,0,0,69,312,0.34,0.43,1.0,0.56,0.67,0.67,0.37,0.37,0.75,0,0.67,0.8
Darren Elkins,Hatsu Hioki,1,0,Featherweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Dan Miragliotta,,0,0,0.33,0.45,0.49,0.64,0.4,1.0,0,0,0,1,417,90,0.3,0.36,0.5,0.55,0,1.0,0.24,0.42,0.5,1.0,0.59,1.0
Mike Brown,Steven Siler,0,1,Featherweight Bout,KO/TKO,1,0:50,3 Rnd (5-5-5),Yves Lavigne,Punch to Head In Clinch,0,1,1.0,0.38,1.0,0.35,0.0,0.0,0,0,0,0,0,6,1.0,0.33,0,0,1.0,1.0,1.0,0.25,0,0,0,0.5
Manvel Gamburyan,Cole Miller,1,0,Featherweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Yves Lavigne,,0,0,0.37,0.29,0.67,0.54,0.71,0.0,0,0,0,0,471,6,0.27,0.27,0.43,0.57,0.8,0,0.32,0.22,0.5,0.89,0.55,1.0
Diego Brandao,Daniel Pineda,1,0,Featherweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Mario Yamasaki,,0,0,0.49,0.38,0.59,0.45,0.8,0.0,0,0,0,1,266,168,0.47,0.33,0.53,0.71,0.67,1.0,0.49,0.28,1.0,1.0,0.46,0.62
Justin Edwards,Brandon Thatch,0,1,Welterweight Bout,KO/TKO,1,1:23,3 Rnd (5-5-5),Rob Hinds,Punch to Head In Clinch,0,2,0.2,0.65,0.2,0.73,0.0,1.0,0,0,0,0,2,19,0.11,0.59,1.0,1.0,0,0,0.14,0.5,0.33,0.75,0,0.67
Court McGee,Robert Whittaker,1,0,Welterweight Bout,Decision - Split,3,5:00,3 Rnd (5-5-5),Herb Dean,,0,0,0.29,0.26,0.31,0.26,0.12,0.0,0,0,0,0,34,0,0.19,0.27,0.44,0.0,0.66,0,0.28,0.26,0.44,0.33,0,0
Matt Brown,Mike Pyle,1,0,Welterweight Bout,KO/TKO,1,0:29,3 Rnd (5-5-5),Kevin MacDonald,Knee to Head In Clinch,1,0,0.56,0.0,0.56,0.0,0.0,0.0,0,0,0,0,6,0,0.53,0.0,0.5,0,1.0,0,0.36,0.0,1.0,0,0.83,0
Kelvin Gastelum,Brian Melancon,1,0,Welterweight Bout,Submission,1,2:26,3 Rnd (5-5-5),Rob Hinds,Rear Naked Choke,1,0,0.61,0.33,0.58,0.39,0.5,0.0,1,0,0,0,30,0,0.56,0.29,1.0,1.0,0.5,0.0,0.56,0.3,0.75,1.0,1.0,0
Joe Lauzon,Michael Johnson,0,1,Lightweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Yves Lavigne,,0,2,0.23,0.45,0.25,0.46,0.0,1.0,0,0,0,0,28,61,0.22,0.39,1.0,0.66,0,1.0,0.21,0.44,1.0,0.61,0,0.4
Brad Pickett,Michael McDonald,0,1,Bantamweight Bout,Submission,2,3:43,3 Rnd (5-5-5),Details:,,0,2,0.22,0.59,0.49,0.6,1.0,0.0,0,2,0,0,141,29,0.22,0.56,0.0,0.8,0.33,1.0,0.19,0.59,0.0,0.56,0.4,0.6
Urijah Faber,Iuri Alcantara,1,0,Bantamweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Details:,,0,0,0.68,0.35,0.82,0.58,0.8,1.0,0,1,0,0,608,152,0.69,0.29,1.0,0.6,0.0,0.0,0.43,0.2,0,0,0.71,0.46
Conor McGregor,Max Holloway,1,0,Featherweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Herb Dean,,0,0,0.35,0.25,0.41,0.31,0.8,0.0,0,0,0,0,388,0,0.3,0.14,0.24,0.25,0.65,0.67,0.31,0.24,1.0,1.0,0.56,0
Alistair Overeem,Travis Browne,0,1,Heavyweight Bout,KO/TKO,1,4:08,3 Rnd (5-5-5),Mario Yamasaki,"Kick to Head At Distance
      Front Kick",2,1,0.62,0.52,0.65,0.52,0.0,0.0,0,0,0,0,135,2,0.48,0.42,0.9,0.86,1.0,0.0,0.45,0.43,0.68,0.75,0.61,1.0
Aaron Riley,Justin Salas,0,1,Lightweight Bout,Decision - Split,3,5:00,3 Rnd (5-5-5),Randy Corley,,0,0,0.15,0.39,0.15,0.4,0.0,0.33,0,0,0,0,0,30,0.08,0.33,0.24,0.58,0.53,0.69,0.14,0.35,1.0,0.73,0,1.0
Uriah Hall,John Howard,0,1,Middleweight Bout,Decision - Split,3,5:00,3 Rnd (5-5-5),Mario Yamasaki,,0,0,0.66,0.54,0.72,0.73,0.25,0.33,0,1,0,0,293,227,0.49,0.32,0.89,0.5,0.89,0.94,0.51,0.44,0.94,0.71,0.78,0.83
Mauricio Rua,Chael Sonnen,0,1,Light Heavyweight Bout,Submission,1,4:47,5 Rnd (5-5-5-5-5),Herb Dean,Guillotine Choke After Drop to Guard,0,0,0.0,0.56,0.9,0.83,0.0,0.66,0,2,0,0,50,229,0.0,0.43,0,1.0,0,0,0,0.0,0.0,1.0,0,0.57
Ed Herman,Trevor Smith,1,0,Middleweight Bout,Decision - Split,3,5:00,3 Rnd (5-5-5),Herb Dean,,0,0,0.57,0.81,0.68,0.82,0.4,0.2,1,1,0,0,198,200,0.46,0.66,0.9,0.96,0,0.96,0.44,0.76,0.91,0.91,0,0
Yves Edwards,Daron Cruickshank,0,1,Lightweight Bout,Decision - Split,3,5:00,3 Rnd (5-5-5),Steve Newport,,0,0,0.38,0.31,0.38,0.31,0.0,0.0,0,0,0,0,0,0,0.13,0.16,0.68,0.58,0.89,1.0,0.38,0.31,0.0,0,0,0
Julie Kedzie,Germaine de Randamie,0,1,Women's Bantamweight Bout,Decision - Split,3,5:00,3 Rnd (5-5-5),Randy Corley,,0,0,0.37,0.61,0.57,0.71,0.22,0.0,0,0,0,0,291,231,0.11,0.23,1.0,1.0,1.0,0.94,0.3,0.36,0.89,0.92,0,0
Mac Danzig,Melvin Guillard,0,1,Lightweight Bout,KO/TKO,2,2:47,3 Rnd (5-5-5),Steve Newport,Punch to Head At Distance,0,1,0.41,0.44,0.42,0.47,0.0,0.0,0,0,0,0,13,40,0.21,0.36,0.8,0.89,0.92,1.0,0.4,0.38,1.0,1.0,0,0.86
Michael Chiesa,Jorge Masvidal,0,1,Lightweight Bout,Submission,2,4:59,3 Rnd (5-5-5),Dan Miragliotta,D'Arce Choke On Ground,1,0,0.45,0.63,0.53,0.77,0.4,0.0,0,2,0,0,162,192,0.39,0.52,0.83,1.0,1.0,0,0.45,0.55,1.0,0,0.0,1.0
Liz Carmouche,Jessica Andrade,1,0,Women's Bantamweight Bout,KO/TKO,2,3:57,3 Rnd (5-5-5),Herb Dean,Punches to Head From Mount,0,0,0.6,0.67,0.69,0.7,1.0,1.0,1,1,0,0,472,21,0.58,0.38,1.0,1.0,1.0,1.0,0.67,0.5,0.5,1.0,0.6,0.5
Danny Castillo,Tim Means,1,0,Lightweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Dan Miragliotta,,0,0,0.32,0.41,0.51,0.68,0.75,0.0,0,0,0,1,336,41,0.25,0.27,0.62,0.79,1.0,1.0,0.31,0.37,0,1.0,0.5,1.0
Demetrious Johnson,John Moraga,1,0,UFC Flyweight Title Bout,Submission,5,3:43,5 Rnd (5-5-5-5-5),Herb Dean,Armbar From Side Control,0,0,0.71,0.42,0.75,0.51,1.0,0.2,3,0,0,0,816,117,0.51,0.25,0.82,0.79,0.86,0.89,0.6,0.3,0.67,0.77,0.84,0.6
Rory MacDonald,Jake Ellenberger,1,0,Welterweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Herb Dean,,0,0,0.39,0.2,0.4,0.25,0.0,0.33,0,0,0,0,0,63,0.36,0.18,0.56,0.4,0,0.33,0.38,0.18,0.67,0.33,0,1.0
Jake Shields,Tyron Woodley,1,0,Welterweight Bout,Decision - Split,3,5:00,3 Rnd (5-5-5),Yves Lavigne,,0,0,0.39,0.64,0.49,0.74,0.0,0.0,0,0,0,0,246,125,0.07,0.26,0.61,0.95,0.69,0.89,0.25,0.42,0.61,0.93,0,0
Robbie Lawler,Bobby Voelker,1,0,Welterweight Bout,KO/TKO,2,0:24,3 Rnd (5-5-5),Dan Miragliotta,Kick to Head At Distance,1,0,0.61,0.24,0.63,0.25,1.0,0.0,0,0,0,0,73,0,0.56,0.17,0.83,0.67,1.0,0.5,0.57,0.23,0.86,0.5,0.5,0
Pat Barry,Shawn Jordan,0,1,Heavyweight Bout,KO/TKO,1,0:59,3 Rnd (5-5-5),Jerin Valel,Punches to Head On Ground,0,1,0.67,0.67,0.67,0.73,0.0,0.0,0,0,0,0,0,5,0.5,0.67,0,0,1.0,0,0.67,0.55,0,0,0,1.0
Roland Delorme,Edwin Figueroa,1,0,Bantamweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Yves Lavigne,,0,0,0.49,0.47,0.65,0.55,0.54,0.0,2,2,0,2,564,214,0.5,0.47,0.0,0,0,0,0.22,0.42,1.0,0.0,0.65,0.53
Ryan Jimmo,Igor Pokrajac,1,0,Light Heavyweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Yves Lavigne,,1,0,0.78,0.3,0.83,0.57,0.5,0.0,0,1,0,0,644,58,0.59,0.22,1.0,1.0,1.0,1.0,0.61,0.2,1.0,1.0,0.78,0
Sean Pierson,Kenny Robertson,1,0,Welterweight Bout,Decision - Majority,3,5:00,3 Rnd (5-5-5),Herb Dean,,0,0,0.39,0.55,0.49,0.64,0.0,0.16,0,0,1,0,91,401,0.37,0.48,0.67,0.77,1.0,1.0,0.36,0.56,1.0,0.6,0.44,0.45
Sam Stout,James Krause,0,1,Lightweight Bout,Submission,3,4:47,3 Rnd (5-5-5),Adam Cheadle,Guillotine Choke From Bottom Guard,0,0,0.32,0.51,0.35,0.54,1.0,0.5,0,1,0,1,80,122,0.15,0.44,0.56,0.76,0.79,0.83,0.31,0.51,0.67,0.8,0.5,0.2
Roy Nelson,Stipe Miocic,0,1,Heavyweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Jerin Valel,,0,0,0.18,0.62,0.19,0.65,0.0,0.12,0,0,0,0,21,125,0.16,0.58,0.25,1.0,1.0,1.0,0.18,0.57,0.25,0.8,0,1.0
Sergio Moraes,Neil Magny,1,0,Welterweight Bout,Submission,1,3:13,3 Rnd (5-5-5),Leon Roberts,Triangle Choke From Mount,0,0,0.65,0.24,0.65,0.29,1.0,0.0,1,0,0,0,66,21,0.63,0.22,0,0.0,1.0,1.0,0.44,0.24,0,0,0.82,0
Ednaldo Oliveira,Francimar Barroso,0,1,Light Heavyweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Leon Roberts,,0,0,0.27,0.49,0.36,0.67,0.0,0.4,0,0,0,0,194,220,0.21,0.25,0.56,0.88,1.0,0.93,0.16,0.39,0.62,0.83,0.62,1.0
Ian McCall,Iliarde Santos,1,0,Flyweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Mario Yamasaki,,0,0,0.41,0.25,0.43,0.26,0.2,0.14,0,0,0,0,61,38,0.24,0.2,0.47,0.7,0.77,1.0,0.41,0.25,0.29,0.0,0.4,1.0
Alexis Davis,Rosi Sexton,1,0,Women's Bantamweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Herb Dean,,0,0,0.6,0.56,0.72,0.73,0.0,0.5,3,0,2,1,405,363,0.54,0.53,0.89,1.0,1.0,1.0,0.49,0.48,0.85,0.0,0.77,1.0
Rani Yahya,Josh Clopton,1,0,Featherweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Herb Dean,,0,0,0.35,0.38,0.83,0.83,0.28,0.0,1,0,1,0,503,199,0.39,0.33,0.5,1.0,0.0,0,0.15,0.33,0,0,0.71,0.5
Viscardi Andrade,Bristol Marunde,1,0,Welterweight Bout,KO/TKO,1,1:36,3 Rnd (5-5-5),Mario Yamasaki,Punch to Head At Distance,1,0,0.67,0.0,0.67,0.0,0.0,0.0,0,0,0,0,18,0,0.6,0.0,1.0,0,1.0,0,0.73,0.0,0,0,0.57,0
Rashad Evans,Dan Henderson,1,0,Light Heavyweight Bout,Decision - Split,3,5:00,3 Rnd (5-5-5),Herb Dean,,0,0,0.45,0.44,0.57,0.51,0.0,0.0,0,0,0,0,222,1,0.42,0.32,0.62,0.93,1.0,1.0,0.46,0.28,0.41,0.87,0,1.0
Vinny Magalhaes,Anthony Perosh,0,1,Light Heavyweight Bout,KO/TKO,1,0:14,3 Rnd (5-5-5),Mario Yamasaki,Punch to Head At Distance,0,1,1.0,0.62,1.0,0.62,0.0,0.0,0,0,0,0,0,6,1.0,0.62,0,0,0,0,1.0,1.0,0,0,0,0.58
Amanda Nunes,Sheila Gaff,1,0,Women's Bantamweight Bout,KO/TKO,1,2:08,3 Rnd (5-5-5),Herb Dean,Elbows to Head From Guard,0,0,0.62,0.38,0.64,0.5,0.66,0.0,0,0,0,0,98,12,0.64,0.25,0.5,0.67,0,0.0,0.33,0.2,0,0.67,0.69,0
Jose Aldo,Chan Sung Jung,1,0,UFC Featherweight Title Bout,KO/TKO,4,2:00,5 Rnd (5-5-5-5-5),Herb Dean,Punches to Head On Ground,0,0,0.37,0.15,0.43,0.29,0.83,0.0,0,0,0,0,300,3,0.31,0.12,0.88,0.4,0.5,0.33,0.36,0.12,0,0.75,0.44,0.0
Lyoto Machida,Phil Davis,0,1,Light Heavyweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Leon Roberts,,0,0,0.44,0.23,0.44,0.3,0.0,0.2,0,0,0,0,22,71,0.39,0.08,0.55,0.32,0.4,0.6,0.45,0.2,0.33,0.33,0,0.45
John Lineker,Jose Maria,1,0,Flyweight Bout,KO/TKO,2,1:03,3 Rnd (5-5-5),Leon Roberts,Punches to Head On Ground,0,0,0.38,0.53,0.45,0.57,1.0,0.2,0,1,0,0,51,33,0.36,0.53,0.45,0.33,0,0.7,0.24,0.45,0.62,0.8,0.48,1.0
Cezar Ferreira,Thiago Santos,1,0,Middleweight Bout,Submission,1,0:47,3 Rnd (5-5-5),Mario Yamasaki,Guillotine Choke On Ground,0,0,0.6,0.0,0.6,0.0,0.0,0.0,1,0,0,0,7,4,0.75,0.0,0,0,0.0,0,0.6,0.0,0,0,0,0
Thales Leites,Tom Watson,1,0,Middleweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Herb Dean,,0,0,0.56,0.49,0.7,0.51,0.55,0.0,3,0,0,0,603,74,0.55,0.4,0.5,0.4,1.0,0.86,0.39,0.48,0.8,0.54,1.0,0
Norman Parke,Kazuki Tokudome,1,0,Lightweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Steve Mazzagatti,,0,0,0.53,0.34,0.56,0.4,0.15,0.2,0,0,1,0,283,158,0.48,0.24,0.82,0.8,0.75,1.0,0.5,0.33,1.0,0.5,1.0,0
Cub Swanson,Dennis Siver,1,0,Featherweight Bout,KO/TKO,3,2:24,3 Rnd (5-5-5),Herb Dean,Punches to Head At Distance,1,0,0.43,0.18,0.45,0.31,1.0,0.25,0,0,0,1,63,194,0.4,0.09,0.67,0.6,0.45,0.43,0.37,0.17,0,0,0.64,0.5
Gabriel Gonzaga,Dave Herman,1,0,Heavyweight Bout,KO/TKO,1,0:17,3 Rnd (5-5-5),Kim Winslow,Punch to Head At Distance,1,0,1.0,1.0,1.0,1.0,0.0,0.0,0,0,0,0,3,0,1.0,0,0,1.0,0,1.0,1.0,1.0,0,0,1.0,0
Frankie Edgar,Charles Oliveira,1,0,Featherweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Yves Lavigne,,0,0,0.55,0.3,0.63,0.4,0.4,0.0,0,1,0,0,303,1,0.47,0.27,0.79,0.41,1.0,0.57,0.5,0.26,0.8,0.83,0.84,1.0
Chris Leben,Andrew Craig,0,1,Middleweight Bout,Decision - Split,3,5:00,3 Rnd (5-5-5),Yves Lavigne,,0,0,0.45,0.63,0.74,0.75,0.0,0.66,0,0,0,0,301,205,0.38,0.57,0.7,1.0,0.55,1.0,0.41,0.59,0.75,0.86,0,0.67
Mark Munoz,Tim Boetsch,1,0,Middleweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Steve Mazzagatti,,0,0,0.68,0.56,0.77,0.72,0.5,0.33,2,3,0,1,566,179,0.56,0.45,0.89,0.56,0.67,1.0,0.33,0.5,0.52,0.62,0.81,0.67
Khabib Nurmagomedov,Abel Trujillo,1,0,Lightweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Mario Yamasaki,,0,0,0.57,0.37,0.68,0.46,0.77,1.0,2,0,0,0,629,97,0.5,0.3,0.75,1.0,1.0,0,0.55,0.19,0.5,1.0,0.6,0.6
Jeremy Stephens,Estevan Payan,1,0,Featherweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Chris Tognoni,,0,0,0.56,0.27,0.67,0.39,0.6,0.0,1,1,0,0,546,17,0.45,0.2,0.73,0.5,0.7,0.43,0.42,0.2,0.33,0.82,0.86,0.0
Brian Bowles,George Roop,0,1,Bantamweight Bout,KO/TKO,2,1:43,3 Rnd (5-5-5),Herb Dean,Punch to Head At Distance,1,1,0.33,0.44,0.37,0.45,0.0,0.0,1,0,1,0,49,31,0.31,0.4,0.57,0.69,0,0.43,0.31,0.39,0.0,0.5,0.75,0.77
Anderson Silva,Chris Weidman,0,1,UFC Middleweight Title Bout,KO/TKO,2,1:18,5 Rnd (5-5-5-5-5),Herb Dean,Punch to Head At Distance,0,1,0.58,0.37,0.62,0.47,0.0,0.33,0,2,0,0,0,115,0.33,0.38,0.5,0.0,0.9,0,0.58,0.32,0,0,0,0.44
Stephen Thompson,Nah-Shon Burrell,1,0,Welterweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Steve Mazzagatti,,0,0,0.49,0.46,0.55,0.54,0.5,0.0,0,0,0,0,378,40,0.33,0.32,0.8,0.76,0.78,1.0,0.44,0.32,0.73,0.68,0,0
Tim Kennedy,Roger Gracie,1,0,Middleweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Kim Winslow,,0,0,0.59,0.41,0.7,0.45,0.5,0.5,0,0,1,0,371,206,0.43,0.36,0.77,0.6,0.77,0.5,0.45,0.23,0.9,1.0,0.65,1.0
Colton Smith,Robert Whittaker,0,1,Welterweight Bout,KO/TKO,3,0:41,3 Rnd (5-5-5),Chris Tognoni,Punch to Head At Distance,1,2,0.36,0.47,0.36,0.47,0.0,1.0,1,0,0,0,3,14,0.26,0.47,0.6,0,0.75,0,0.33,0.45,0.64,0.5,0,0.67
Dennis Bermudez,Max Holloway,1,0,Featherweight Bout,Decision - Split,3,5:00,3 Rnd (5-5-5),Herb Dean,,0,0,0.32,0.39,0.34,0.4,0.44,0.0,0,0,0,0,208,8,0.24,0.37,0.67,0.5,1.0,1.0,0.28,0.38,0.6,0.62,0.53,0
Gray Maynard,TJ Grant,0,1,Lightweight Bout,KO/TKO,1,2:07,3 Rnd (5-5-5),Chris Tognoni,Punches to Head At Distance,0,3,0.46,0.5,0.46,0.53,0.0,0.0,0,0,0,0,0,15,0.48,0.46,0.0,1.0,0,0,0.46,0.42,0.5,0.63,0,0.44
Mike Pyle,Rick Story,1,0,Welterweight Bout,Decision - Split,3,5:00,3 Rnd (5-5-5),Steve Mazzagatti,,0,1,0.45,0.51,0.65,0.63,0.0,0.42,2,0,1,0,24,568,0.39,0.42,0.5,0.69,1.0,0.67,0.38,0.41,0.88,0.69,1.0,0.53
Cain Velasquez,Antonio Silva,1,0,UFC Heavyweight Title Bout,KO/TKO,1,1:21,5 Rnd (5-5-5-5-5),Mario Yamasaki,Punch to Head At Distance,1,0,0.64,0.33,0.64,0.5,0.0,0.0,0,0,0,0,11,0,0.62,0.33,1.0,0,1.0,0,0.4,0.33,1.0,0,0.92,0
