r_fighter,b_fighter,r_win,b_win,wei_class,method,round,time,t_format,ref,details,r_kd,b_kd,r_sigstr,b_sigstr,r_totstr,b_totstr,r_td,b_td,r_sub,b_sub,r_rev,b_rev,r_ctrl,b_ctrl,r_hstr,b_hstr,r_bstr,b_bstr,r_lstr,b_lstr,r_dis,b_dis,r_cli,b_cli,r_gro,b_gro
Brad Riddell,Magomed Mustafaev,1,0,Lightweight Bout,Decision - Split,3,5:00,3 Rnd (5-5-5),John Sharp,,1,0,0.53,0.61,0.62,0.64,1.0,0.72,0,0,0,0,122,423,0.43,0.43,0.71,0.64,0.83,0.92,0.44,0.44,1.0,0.8,0.62,0.89
Joseph Benavidez,Deiveson Figueiredo,0,1,Flyweight Bout,KO/TKO,2,1:54,5 Rnd (5-5-5-5-5),Dan Miragliotta,"Punch to Head At Distance
      Non-title fight for Figueiredo; missed weight",0,1,0.49,0.51,0.49,0.51,0.0,1.0,0,1,0,0,10,27,0.44,0.46,0.62,0.7,0.56,0,0.46,0.45,0.62,1.0,0,1.0
Paul Felder,Dan Hooker,0,1,Lightweight Bout,Decision - Split,5,5:00,5 Rnd (5-5-5-5-5),Marc Goddard,,0,0,0.48,0.55,0.49,0.57,0.0,0.2,0,0,0,0,3,305,0.38,0.45,0.73,0.77,0.79,0.85,0.48,0.55,0.42,0.5,0,0
Jalin Turner,Josh Culibao,1,0,Lightweight Bout,KO/TKO,2,3:01,3 Rnd (5-5-5),Mark Craig,Punches to Head From Back Control,0,0,0.6,0.43,0.7,0.4,0.0,0.0,3,0,0,0,261,10,0.58,0.33,0.68,0.67,0.0,1.0,0.38,0.39,0.6,0.6,0.82,0
Karolina Kowalkiewicz,Yan Xiaonan,0,1,Women's Strawweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Mark Craig,,0,0,0.45,0.52,0.5,0.62,0.0,0.83,1,0,0,0,104,307,0.35,0.43,0.5,0.87,0.75,0.82,0.44,0.48,0.5,0.7,0,0.76
Ben Sosoli,Marcos Rogerio de Lima,0,1,Heavyweight Bout,KO/TKO,1,1:28,3 Rnd (5-5-5),Neil Swailes,Punch to Head At Distance,0,1,0.29,0.56,0.29,0.56,0.0,0.0,0,0,0,0,0,2,0.25,0.5,1.0,1.0,0,1.0,0.29,0.55,0,0,0,1.0
Bruno Silva,David Dvorak,0,1,Flyweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Julio Catarino,,0,0,0.46,0.5,0.54,0.57,0.27,0.0,0,0,0,2,91,73,0.36,0.41,0.71,0.65,0.73,0.8,0.43,0.48,0.8,0.58,0.4,1.0
Veronica Macedo,Bea Malecki,0,1,Women's Bantamweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Mike Beltran,,0,0,0.36,0.53,0.39,0.58,0.0,0.0,0,0,0,0,12,204,0.31,0.48,0.47,0.68,0.8,0.67,0.37,0.5,0.25,0.85,0,0.6
Jimmy Crute,Michal Oleksiejczuk,1,0,Light Heavyweight Bout,Submission,1,3:29,3 Rnd (5-5-5),John Sharp,Kimura From Side Control,0,0,0.25,0.5,0.57,0.7,0.8,0.0,1,0,0,0,183,0,0.29,0.5,0.0,0,0,0,0.33,0.5,0.0,0,0,0
Elizeu Zaleski dos Santos,Aleksei Kunchenko,1,0,Welterweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Osiris Maia,,0,0,0.4,0.51,0.44,0.62,0.5,0.0,0,0,0,0,150,24,0.26,0.4,0.5,0.61,0.72,0.77,0.38,0.48,0.8,0.8,1.0,1.0
